state,county,candidate,party,votes,won
North Dakota,Walsh County,Shelley Lenz,DEM,975,False
North Dakota,Walsh County,DuWayne Hendrickson,LIB,120,False
North Dakota,Ward County,Doug Burgum,REP,20295,True
North Dakota,Ward County,Shelley Lenz,DEM,5587,False
North Dakota,Ward County,DuWayne Hendrickson,LIB,1262,False
North Dakota,Wells County,Doug Burgum,REP,1606,True
North Dakota,Wells County,Shelley Lenz,DEM,356,False
North Dakota,Wells County,DuWayne Hendrickson,LIB,98,False
North Dakota,Williams County,Doug Burgum,REP,10548,True
North Dakota,Williams County,Shelley Lenz,DEM,1689,False
North Dakota,Williams County,DuWayne Hendrickson,LIB,665,False
Utah,Beaver County,Spencer Cox,REP,2468,True
Utah,Beaver County,Chris Peterson,DEM,291,False
Utah,Beaver County,Daniel Cottam,LIB,102,False
Utah,Beaver County, Write-ins,WRI,55,False
Utah,Beaver County,Greg Duerden,IAP,48,False
Utah,Box Elder County,Spencer Cox,REP,20642,True
Utah,Box Elder County,Chris Peterson,DEM,3507,False
Utah,Box Elder County,Daniel Cottam,LIB,1038,False
Utah,Box Elder County, Write-ins,WRI,809,False
Utah,Box Elder County,Greg Duerden,IAP,553,False
Utah,Cache County,Spencer Cox,REP,39952,True
Utah,Cache County,Chris Peterson,DEM,12943,False
Utah,Cache County,Daniel Cottam,LIB,1948,False
Utah,Cache County, Write-ins,WRI,882,False
Utah,Cache County,Greg Duerden,IAP,835,False
Utah,Carbon County,Spencer Cox,REP,6506,True
Utah,Carbon County,Chris Peterson,DEM,2091,False
Utah,Carbon County,Daniel Cottam,LIB,271,False
Utah,Carbon County,Greg Duerden,IAP,155,False
Utah,Carbon County, Write-ins,WRI,0,False
Utah,Daggett County,Spencer Cox,REP,469,True
Utah,Daggett County,Chris Peterson,DEM,91,False
Utah,Daggett County,Greg Duerden,IAP,15,False
Utah,Daggett County,Daniel Cottam,LIB,10,False
Utah,Daggett County, Write-ins,WRI,6,False
Utah,Davis County,Spencer Cox,REP,115501,True
Utah,Davis County,Chris Peterson,DEM,41101,False
Utah,Davis County,Daniel Cottam,LIB,6018,False
Utah,Davis County,Greg Duerden,IAP,4374,False
Utah,Davis County, Write-ins,WRI,1359,False
Utah,Duchesne County,Spencer Cox,REP,6096,True
Utah,Duchesne County, Write-ins,WRI,893,False
Utah,Duchesne County,Chris Peterson,DEM,739,False
Utah,Duchesne County,Daniel Cottam,LIB,308,False
Utah,Duchesne County,Greg Duerden,IAP,210,False
Utah,Emery County,Spencer Cox,REP,3918,True
Utah,Emery County,Chris Peterson,DEM,489,False
Utah,Emery County, Write-ins,WRI,131,False
Utah,Emery County,Daniel Cottam,LIB,105,False
Utah,Emery County,Greg Duerden,IAP,88,False
Utah,Garfield County,Spencer Cox,REP,2123,True
Utah,Garfield County,Chris Peterson,DEM,428,False
Utah,Garfield County,Daniel Cottam,LIB,73,False
Utah,Garfield County,Greg Duerden,IAP,21,False
Utah,Grand County,Chris Peterson,DEM,2499,True
Utah,Grand County,Spencer Cox,REP,2303,False
Utah,Grand County,Daniel Cottam,LIB,158,False
Utah,Grand County,Greg Duerden,IAP,56,False
Utah,Grand County, Write-ins,WRI,36,False
Utah,Iron County,Spencer Cox,REP,17650,True
Utah,Iron County,Chris Peterson,DEM,3854,False
Utah,Iron County,Daniel Cottam,LIB,1425,False
Utah,Iron County,Greg Duerden,IAP,644,False
Utah,Iron County, Write-ins,WRI,543,False
Utah,Juab County,Spencer Cox,REP,4606,True
Utah,Juab County,Chris Peterson,DEM,470,False
Utah,Juab County, Write-ins,WRI,230,False
Utah,Juab County,Greg Duerden,IAP,219,False
Utah,Juab County,Daniel Cottam,LIB,211,False
Utah,Kane County,Spencer Cox,REP,2802,True
Utah,Kane County,Chris Peterson,DEM,918,False
Utah,Kane County,Daniel Cottam,LIB,140,False
Utah,Kane County, Write-ins,WRI,89,False
Utah,Kane County,Greg Duerden,IAP,71,False
Utah,Millard County,Spencer Cox,REP,4528,True
Utah,Millard County, Write-ins,WRI,594,False
Utah,Millard County,Chris Peterson,DEM,519,False
Utah,Millard County,Daniel Cottam,LIB,183,False
Utah,Millard County,Greg Duerden,IAP,168,False
Utah,Morgan County,Spencer Cox,REP,5190,True
Utah,Morgan County,Chris Peterson,DEM,770,False
Utah,Morgan County,Daniel Cottam,LIB,229,False
Utah,Morgan County,Greg Duerden,IAP,122,False
Utah,Morgan County, Write-ins,WRI,89,False
Utah,Piute County,Spencer Cox,REP,672,True
Utah,Piute County,Chris Peterson,DEM,65,False
Utah,Piute County,Daniel Cottam,LIB,36,False
Utah,Piute County, Write-ins,WRI,30,False
Utah,Piute County,Greg Duerden,IAP,27,False
Utah,Rich County,Spencer Cox,REP,1081,True
Utah,Rich County,Chris Peterson,DEM,158,False
Utah,Rich County, Write-ins,WRI,51,False
Utah,Rich County,Daniel Cottam,LIB,28,False
Utah,Rich County,Greg Duerden,IAP,16,False
Utah,Salt Lake County,Spencer Cox,REP,266177,True
Utah,Salt Lake County,Chris Peterson,DEM,238249,False
Utah,Salt Lake County,Daniel Cottam,LIB,16001,False
Utah,Salt Lake County,Greg Duerden,IAP,6137,False
Utah,Salt Lake County, Write-ins,WRI,2402,False
Utah,San Juan County,Spencer Cox,REP,3477,True
Utah,San Juan County,Chris Peterson,DEM,2642,False
Utah,San Juan County,Daniel Cottam,LIB,258,False
Utah,San Juan County,Greg Duerden,IAP,135,False
Utah,San Juan County, Write-ins,WRI,68,False
Utah,Sanpete County,Spencer Cox,REP,10326,True
Utah,Sanpete County,Chris Peterson,DEM,1012,False
Utah,Sanpete County,Greg Duerden,IAP,388,False
Utah,Sanpete County, Write-ins,WRI,365,False
Utah,Sanpete County,Daniel Cottam,LIB,363,False
Utah,Sevier County,Spencer Cox,REP,8364,True
Utah,Sevier County,Chris Peterson,DEM,882,False
Utah,Sevier County, Write-ins,WRI,342,False
Utah,Sevier County,Daniel Cottam,LIB,288,False
Utah,Sevier County,Greg Duerden,IAP,271,False
Utah,Summit County,Chris Peterson,DEM,13066,True
Utah,Summit County,Spencer Cox,REP,11290,False
Utah,Summit County,Daniel Cottam,LIB,587,False
Utah,Summit County,Greg Duerden,IAP,205,False
Utah,Summit County, Write-ins,WRI,153,False
Utah,Tooele County,Spencer Cox,REP,21293,True
Utah,Tooele County,Chris Peterson,DEM,7058,False
Utah,Tooele County,Daniel Cottam,LIB,1383,False
Utah,Tooele County,Greg Duerden,IAP,662,False
Utah,Tooele County, Write-ins,WRI,253,False
Utah,Uintah County,Spencer Cox,REP,10290,True
Utah,Uintah County, Write-ins,WRI,2190,False
Utah,Uintah County,Chris Peterson,DEM,1482,False
Utah,Uintah County,Daniel Cottam,LIB,509,False
Utah,Uintah County,Greg Duerden,IAP,367,False
Utah,Utah County,Spencer Cox,REP,208514,True
Utah,Utah County,Chris Peterson,DEM,52524,False
Utah,Utah County,Daniel Cottam,LIB,10798,False
Utah,Utah County,Greg Duerden,IAP,5355,False
Utah,Utah County, Write-ins,WRI,4307,False
Utah,Wasatch County,Spencer Cox,REP,11472,True
Utah,Wasatch County,Chris Peterson,DEM,4911,False
Utah,Wasatch County,Daniel Cottam,LIB,509,False
Utah,Wasatch County,Greg Duerden,IAP,202,False
Utah,Wasatch County, Write-ins,WRI,199,False
Utah,Washington County,Spencer Cox,REP,61125,True
Utah,Washington County,Chris Peterson,DEM,16698,False
Utah,Washington County,Daniel Cottam,LIB,4432,False
Utah,Washington County, Write-ins,WRI,3087,False
Utah,Washington County,Greg Duerden,IAP,2520,False
Utah,Wayne County,Spencer Cox,REP,1115,True
Utah,Wayne County,Chris Peterson,DEM,321,False
Utah,Wayne County,Daniel Cottam,LIB,55,False
Utah,Wayne County,Greg Duerden,IAP,46,False
Utah,Wayne County, Write-ins,WRI,44,False
Utah,Weber County,Spencer Cox,REP,68804,True
Utah,Weber County,Chris Peterson,DEM,32976,False
Utah,Weber County,Daniel Cottam,LIB,3927,False
Utah,Weber County,Greg Duerden,IAP,1900,False
Utah,Weber County, Write-ins,WRI,960,False
Vermont,Jamaica,Phil Scott,REP,342,True
Vermont,Jamaica,David Zuckerman,DEM,211,False
Vermont,Jamaica,Kevin Hoyt,IND,7,False
Vermont,Jamaica,Erynn Whitney,IND,6,False
Vermont,Jamaica,Emily Peyton,TM,4,False
Vermont,Jamaica,Wayne Billado,IND,2,False
Vermont,Jamaica,Michael DeVost,IND,1,False
Vermont,Jamaica,Charly Dickerson,UNA,1,False
Vermont,Jamaica, Write-ins,WRI,0,False
Vermont,Jay,Phil Scott,REP,207,True
Vermont,Jay,David Zuckerman,DEM,60,False
Vermont,Jay, Write-ins,WRI,10,False
Vermont,Jay,Kevin Hoyt,IND,6,False
Vermont,Jay,Michael DeVost,IND,4,False
Vermont,Jay,Charly Dickerson,UNA,2,False
Vermont,Jay,Emily Peyton,TM,2,False
Vermont,Jay,Wayne Billado,IND,1,False
Vermont,Jay,Erynn Whitney,IND,1,False
Vermont,Jericho,Phil Scott,REP,2663,True
Vermont,Jericho,David Zuckerman,DEM,903,False
Vermont,Jericho,Emily Peyton,TM,19,False
Vermont,Jericho,Kevin Hoyt,IND,18,False
Vermont,Jericho, Write-ins,WRI,14,False
Vermont,Jericho,Wayne Billado,IND,9,False
Vermont,Jericho,Michael DeVost,IND,4,False
Vermont,Jericho,Erynn Whitney,IND,4,False
Vermont,Jericho,Charly Dickerson,UNA,1,False
Vermont,Johnson,Phil Scott,REP,1066,True
Vermont,Johnson,David Zuckerman,DEM,451,False
Vermont,Johnson,Emily Peyton,TM,15,False
Vermont,Johnson,Kevin Hoyt,IND,9,False
Vermont,Johnson,Charly Dickerson,UNA,8,False
Vermont,Johnson,Erynn Whitney,IND,6,False
Vermont,Johnson,Wayne Billado,IND,5,False
Vermont,Johnson,Michael DeVost,IND,5,False
Vermont,Johnson, Write-ins,WRI,4,False
Vermont,Kirby,Phil Scott,REP,241,True
Vermont,Kirby,David Zuckerman,DEM,77,False
Vermont,Kirby,Emily Peyton,TM,5,False
Vermont,Kirby, Write-ins,WRI,3,False
Vermont,Kirby,Michael DeVost,IND,1,False
Vermont,Kirby,Charly Dickerson,UNA,1,False
Vermont,Kirby,Wayne Billado,IND,0,False
Vermont,Kirby,Kevin Hoyt,IND,0,False
Vermont,Kirby,Erynn Whitney,IND,0,False
Vermont,Landgrove,Phil Scott,REP,99,True
Vermont,Landgrove,David Zuckerman,DEM,36,False
Vermont,Landgrove,Wayne Billado,IND,0,False
Vermont,Landgrove,Michael DeVost,IND,0,False
Vermont,Landgrove,Charly Dickerson,UNA,0,False
Vermont,Landgrove,Kevin Hoyt,IND,0,False
Vermont,Landgrove,Emily Peyton,TM,0,False
Vermont,Landgrove,Erynn Whitney,IND,0,False
Vermont,Landgrove, Write-ins,WRI,0,False
Vermont,Leicester,Phil Scott,REP,402,True
Vermont,Leicester,David Zuckerman,DEM,104,False
Vermont,Leicester,Kevin Hoyt,IND,8,False
Vermont,Leicester,Emily Peyton,TM,7,False
Vermont,Leicester, Write-ins,WRI,7,False
Vermont,Leicester,Wayne Billado,IND,4,False
Vermont,Leicester,Charly Dickerson,UNA,4,False
Vermont,Leicester,Erynn Whitney,IND,3,False
Vermont,Leicester,Michael DeVost,IND,1,False
Vermont,Lemington,Phil Scott,REP,39,True
Vermont,Lemington,David Zuckerman,DEM,9,False
Vermont,Lemington,Michael DeVost,IND,1,False
Vermont,Lemington,Erynn Whitney,IND,1,False
Vermont,Lemington,Wayne Billado,IND,0,False
Vermont,Lemington,Charly Dickerson,UNA,0,False
Vermont,Lemington,Kevin Hoyt,IND,0,False
Vermont,Lemington,Emily Peyton,TM,0,False
Vermont,Lemington, Write-ins,WRI,0,False
Vermont,Lincoln,Phil Scott,REP,573,True
Vermont,Lincoln,David Zuckerman,DEM,350,False
Vermont,Lincoln,Emily Peyton,TM,11,False
Vermont,Lincoln,Wayne Billado,IND,4,False
Vermont,Lincoln,Erynn Whitney,IND,3,False
Vermont,Lincoln,Michael DeVost,IND,1,False
Vermont,Lincoln,Charly Dickerson,UNA,1,False
Vermont,Lincoln,Kevin Hoyt,IND,1,False
Vermont,Lincoln, Write-ins,WRI,1,False
Vermont,Londonderry,Phil Scott,REP,752,True
Vermont,Londonderry,David Zuckerman,DEM,313,False
Vermont,Londonderry,Kevin Hoyt,IND,20,False
Vermont,Londonderry,Emily Peyton,TM,13,False
Vermont,Londonderry,Erynn Whitney,IND,6,False
Vermont,Londonderry,Michael DeVost,IND,1,False
Vermont,Londonderry,Charly Dickerson,UNA,1,False
Vermont,Londonderry,Wayne Billado,IND,0,False
Vermont,Londonderry, Write-ins,WRI,0,False
Vermont,Barnet,Phil Scott,REP,769,True
Vermont,Barnet,David Zuckerman,DEM,254,False
Vermont,Barnet,Kevin Hoyt,IND,14,False
Vermont,Barnet, Write-ins,WRI,10,False
Vermont,Barnet,Emily Peyton,TM,8,False
Vermont,Barnet,Erynn Whitney,IND,8,False
Vermont,Barnet,Michael DeVost,IND,7,False
Vermont,Barnet,Charly Dickerson,UNA,7,False
Vermont,Barnet,Wayne Billado,IND,1,False
Vermont,Lowell,Phil Scott,REP,330,True
Vermont,Lowell,David Zuckerman,DEM,102,False
Vermont,Lowell,Kevin Hoyt,IND,23,False
Vermont,Lowell,Wayne Billado,IND,5,False
Vermont,Lowell,Michael DeVost,IND,5,False
Vermont,Lowell,Emily Peyton,TM,5,False
Vermont,Lowell, Write-ins,WRI,3,False
Vermont,Lowell,Charly Dickerson,UNA,2,False
Vermont,Lowell,Erynn Whitney,IND,1,False
Vermont,Ludlow,Phil Scott,REP,865,True
Vermont,Ludlow,David Zuckerman,DEM,296,False
Vermont,Ludlow,Kevin Hoyt,IND,17,False
Vermont,Ludlow,Emily Peyton,TM,15,False
Vermont,Ludlow,Erynn Whitney,IND,6,False
Vermont,Ludlow,Wayne Billado,IND,5,False
Vermont,Ludlow,Charly Dickerson,UNA,5,False
Vermont,Ludlow, Write-ins,WRI,3,False
Vermont,Ludlow,Michael DeVost,IND,2,False
Vermont,Lunenburg,Phil Scott,REP,451,True
Vermont,Lunenburg,David Zuckerman,DEM,110,False
Vermont,Lunenburg,Kevin Hoyt,IND,18,False
Vermont,Lunenburg,Emily Peyton,TM,12,False
Vermont,Lunenburg,Michael DeVost,IND,9,False
Vermont,Lunenburg,Charly Dickerson,UNA,6,False
Vermont,Lunenburg,Erynn Whitney,IND,6,False
Vermont,Lunenburg,Wayne Billado,IND,5,False
Vermont,Lunenburg, Write-ins,WRI,2,False
Vermont,Lyndon,Phil Scott,REP,1865,True
Vermont,Lyndon,David Zuckerman,DEM,422,False
Vermont,Lyndon,Emily Peyton,TM,31,False
Vermont,Lyndon,Kevin Hoyt,IND,30,False
Vermont,Lyndon,Michael DeVost,IND,20,False
Vermont,Lyndon,Charly Dickerson,UNA,11,False
Vermont,Lyndon,Erynn Whitney,IND,11,False
Vermont,Lyndon, Write-ins,WRI,10,False
Vermont,Lyndon,Wayne Billado,IND,5,False
Vermont,Maidstone,Phil Scott,REP,121,True
Vermont,Maidstone,David Zuckerman,DEM,12,False
Vermont,Maidstone,Michael DeVost,IND,2,False
Vermont,Maidstone,Kevin Hoyt,IND,2,False
Vermont,Maidstone,Wayne Billado,IND,0,False
Vermont,Maidstone,Charly Dickerson,UNA,0,False
Vermont,Maidstone,Emily Peyton,TM,0,False
Vermont,Maidstone,Erynn Whitney,IND,0,False
Vermont,Maidstone, Write-ins,WRI,0,False
Vermont,Manchester,Phil Scott,REP,1809,True
Vermont,Manchester,David Zuckerman,DEM,787,False
Vermont,Manchester,Kevin Hoyt,IND,51,False
Vermont,Manchester,Erynn Whitney,IND,38,False
Vermont,Manchester,Emily Peyton,TM,22,False
Vermont,Manchester, Write-ins,WRI,8,False
Vermont,Manchester,Michael DeVost,IND,4,False
Vermont,Manchester,Charly Dickerson,UNA,4,False
Vermont,Manchester,Wayne Billado,IND,1,False
Vermont,Marlboro,David Zuckerman,DEM,368,True
Vermont,Marlboro,Phil Scott,REP,255,False
Vermont,Marlboro,Emily Peyton,TM,11,False
Vermont,Marlboro,Wayne Billado,IND,3,False
Vermont,Marlboro,Kevin Hoyt,IND,3,False
Vermont,Marlboro,Charly Dickerson,UNA,2,False
Vermont,Marlboro,Michael DeVost,IND,1,False
Vermont,Marlboro,Erynn Whitney,IND,0,False
Vermont,Marlboro, Write-ins,WRI,0,False
Vermont,Marshfield,Phil Scott,REP,641,True
Vermont,Marshfield,David Zuckerman,DEM,287,False
Vermont,Marshfield,Kevin Hoyt,IND,12,False
Vermont,Marshfield, Write-ins,WRI,6,False
Vermont,Marshfield,Wayne Billado,IND,2,False
Vermont,Marshfield,Charly Dickerson,UNA,2,False
Vermont,Marshfield,Emily Peyton,TM,2,False
Vermont,Marshfield,Michael DeVost,IND,1,False
Vermont,Marshfield,Erynn Whitney,IND,1,False
Vermont,Mendon,Phil Scott,REP,577,True
Vermont,Mendon,David Zuckerman,DEM,176,False
Vermont,Mendon,Emily Peyton,TM,9,False
Vermont,Mendon,Kevin Hoyt,IND,7,False
Vermont,Mendon, Write-ins,WRI,3,False
Vermont,Mendon,Erynn Whitney,IND,2,False
Vermont,Mendon,Michael DeVost,IND,1,False
Vermont,Mendon,Charly Dickerson,UNA,1,False
Vermont,Mendon,Wayne Billado,IND,0,False
Vermont,Middlebury,Phil Scott,REP,2545,True
Vermont,Middlebury,David Zuckerman,DEM,1625,False
Vermont,Middlebury,Emily Peyton,TM,37,False
Vermont,Middlebury,Kevin Hoyt,IND,18,False
Vermont,Middlebury,Charly Dickerson,UNA,12,False
Vermont,Middlebury,Wayne Billado,IND,9,False
Vermont,Middlebury,Michael DeVost,IND,9,False
Vermont,Middlebury, Write-ins,WRI,9,False
Vermont,Middlebury,Erynn Whitney,IND,8,False
Vermont,Barre,Phil Scott,REP,2799,True
Vermont,Barre,David Zuckerman,DEM,829,False
Vermont,Barre,Emily Peyton,TM,45,False
Vermont,Barre,Kevin Hoyt,IND,37,False
Vermont,Barre,Charly Dickerson,UNA,15,False
Vermont,Barre,Erynn Whitney,IND,14,False
Vermont,Barre,Wayne Billado,IND,13,False
Vermont,Barre, Write-ins,WRI,12,False
Vermont,Barre,Michael DeVost,IND,8,False
Vermont,Middlesex,Phil Scott,REP,819,True
Vermont,Middlesex,David Zuckerman,DEM,397,False
Vermont,Middlesex,Kevin Hoyt,IND,7,False
Vermont,Middlesex,Emily Peyton,TM,5,False
Vermont,Middlesex, Write-ins,WRI,5,False
Vermont,Middlesex,Wayne Billado,IND,3,False
Vermont,Middlesex,Charly Dickerson,UNA,3,False
Vermont,Middlesex,Michael DeVost,IND,2,False
Vermont,Middlesex,Erynn Whitney,IND,2,False
Vermont,Middletown Springs,Phil Scott,REP,367,True
Vermont,Middletown Springs,David Zuckerman,DEM,160,False
Vermont,Middletown Springs,Kevin Hoyt,IND,8,False
Vermont,Middletown Springs,Emily Peyton,TM,6,False
Vermont,Middletown Springs,Erynn Whitney,IND,3,False
Vermont,Middletown Springs, Write-ins,WRI,2,False
Vermont,Middletown Springs,Wayne Billado,IND,1,False
Vermont,Middletown Springs,Michael DeVost,IND,0,False
Vermont,Middletown Springs,Charly Dickerson,UNA,0,False
Vermont,Milton,Phil Scott,REP,4877,True
Vermont,Milton,David Zuckerman,DEM,1010,False
Vermont,Milton,Kevin Hoyt,IND,58,False
Vermont,Milton,Emily Peyton,TM,42,False
Vermont,Milton,Wayne Billado,IND,35,False
Vermont,Milton,Erynn Whitney,IND,28,False
Vermont,Milton, Write-ins,WRI,19,False
Vermont,Milton,Charly Dickerson,UNA,13,False
Vermont,Milton,Michael DeVost,IND,11,False
Vermont,Monkton,Phil Scott,REP,1010,True
Vermont,Monkton,David Zuckerman,DEM,358,False
Vermont,Monkton,Emily Peyton,TM,8,False
Vermont,Monkton, Write-ins,WRI,6,False
Vermont,Monkton,Erynn Whitney,IND,5,False
Vermont,Monkton,Kevin Hoyt,IND,4,False
Vermont,Monkton,Wayne Billado,IND,3,False
Vermont,Monkton,Michael DeVost,IND,3,False
Vermont,Monkton,Charly Dickerson,UNA,3,False
Vermont,Montgomery,Phil Scott,REP,457,True
Vermont,Montgomery,David Zuckerman,DEM,244,False
Vermont,Montgomery,Kevin Hoyt,IND,17,False
Vermont,Montgomery,Emily Peyton,TM,12,False
Vermont,Montgomery, Write-ins,WRI,6,False
Vermont,Montgomery,Michael DeVost,IND,5,False
Vermont,Montgomery,Charly Dickerson,UNA,4,False
Vermont,Montgomery,Wayne Billado,IND,1,False
Vermont,Montgomery,Erynn Whitney,IND,1,False
Vermont,Montpelier,Phil Scott,REP,2724,True
Vermont,Montpelier,David Zuckerman,DEM,2264,False
Vermont,Montpelier,Emily Peyton,TM,42,False
Vermont,Montpelier, Write-ins,WRI,26,False
Vermont,Montpelier,Erynn Whitney,IND,17,False
Vermont,Montpelier,Charly Dickerson,UNA,15,False
Vermont,Montpelier,Kevin Hoyt,IND,13,False
Vermont,Montpelier,Wayne Billado,IND,8,False
Vermont,Montpelier,Michael DeVost,IND,6,False
Vermont,Moretown,Phil Scott,REP,831,True
Vermont,Moretown,David Zuckerman,DEM,338,False
Vermont,Moretown,Emily Peyton,TM,8,False
Vermont,Moretown,Charly Dickerson,UNA,3,False
Vermont,Moretown,Kevin Hoyt,IND,3,False
Vermont,Moretown,Wayne Billado,IND,2,False
Vermont,Moretown, Write-ins,WRI,2,False
Vermont,Moretown,Erynn Whitney,IND,1,False
Vermont,Moretown,Michael DeVost,IND,0,False
Vermont,Morgan,Phil Scott,REP,335,True
Vermont,Morgan,David Zuckerman,DEM,41,False
Vermont,Morgan,Kevin Hoyt,IND,7,False
Vermont,Morgan,Michael DeVost,IND,4,False
Vermont,Morgan,Emily Peyton,TM,2,False
Vermont,Morgan,Wayne Billado,IND,0,False
Vermont,Morgan,Charly Dickerson,UNA,0,False
Vermont,Morgan,Erynn Whitney,IND,0,False
Vermont,Morgan, Write-ins,WRI,0,False
Vermont,Morristown,Phil Scott,REP,2265,True
Vermont,Morristown,David Zuckerman,DEM,790,False
Vermont,Morristown,Emily Peyton,TM,35,False
Vermont,Morristown,Kevin Hoyt,IND,31,False
Vermont,Morristown, Write-ins,WRI,29,False
Vermont,Morristown,Erynn Whitney,IND,12,False
Vermont,Morristown,Wayne Billado,IND,7,False
Vermont,Morristown,Michael DeVost,IND,7,False
Vermont,Morristown,Charly Dickerson,UNA,6,False
Vermont,Mount Holly,Phil Scott,REP,584,True
Vermont,Mount Holly,David Zuckerman,DEM,206,False
Vermont,Mount Holly,Kevin Hoyt,IND,17,False
Vermont,Mount Holly,Emily Peyton,TM,9,False
Vermont,Mount Holly,Wayne Billado,IND,5,False
Vermont,Mount Holly,Erynn Whitney,IND,4,False
Vermont,Mount Holly,Michael DeVost,IND,3,False
Vermont,Mount Holly,Charly Dickerson,UNA,3,False
Vermont,Mount Holly, Write-ins,WRI,3,False
Vermont,Barre Town,Phil Scott,REP,3997,True
Vermont,Barre Town,David Zuckerman,DEM,590,False
Vermont,Barre Town,Kevin Hoyt,IND,68,False
Vermont,Barre Town,Emily Peyton,TM,30,False
Vermont,Barre Town, Write-ins,WRI,26,False
Vermont,Barre Town,Charly Dickerson,UNA,20,False
Vermont,Barre Town,Erynn Whitney,IND,13,False
Vermont,Barre Town,Wayne Billado,IND,8,False
Vermont,Barre Town,Michael DeVost,IND,5,False
Vermont,Mount Tabor,Phil Scott,REP,83,True
Vermont,Mount Tabor,David Zuckerman,DEM,21,False
Vermont,Mount Tabor,Erynn Whitney,IND,5,False
Vermont,Mount Tabor,Kevin Hoyt,IND,2,False
Vermont,Mount Tabor,Emily Peyton,TM,2,False
Vermont,Mount Tabor,Charly Dickerson,UNA,1,False
Vermont,Mount Tabor, Write-ins,WRI,1,False
Vermont,Mount Tabor,Wayne Billado,IND,0,False
Vermont,Mount Tabor,Michael DeVost,IND,0,False
Vermont,Newark,Phil Scott,REP,259,True
Vermont,Newark,David Zuckerman,DEM,55,False
Vermont,Newark,Kevin Hoyt,IND,8,False
Vermont,Newark,Michael DeVost,IND,5,False
Vermont,Newark,Emily Peyton,TM,5,False
Vermont,Newark, Write-ins,WRI,4,False
Vermont,Newark,Erynn Whitney,IND,3,False
Vermont,Newark,Wayne Billado,IND,1,False
Vermont,Newark,Charly Dickerson,UNA,0,False
Vermont,Newbury,Phil Scott,REP,891,True
Vermont,Newbury,David Zuckerman,DEM,249,False
Vermont,Newbury,Kevin Hoyt,IND,20,False
Vermont,Newbury,Emily Peyton,TM,14,False
Vermont,Newbury,Wayne Billado,IND,6,False
Vermont,Newbury,Charly Dickerson,UNA,5,False
Vermont,Newbury,Erynn Whitney,IND,5,False
Vermont,Newbury, Write-ins,WRI,4,False
Vermont,Newbury,Michael DeVost,IND,1,False
Vermont,Newfane,Phil Scott,REP,581,True
Vermont,Newfane,David Zuckerman,DEM,471,False
Vermont,Newfane,Emily Peyton,TM,26,False
Vermont,Newfane,Erynn Whitney,IND,13,False
Vermont,Newfane,Kevin Hoyt,IND,9,False
Vermont,Newfane,Wayne Billado,IND,5,False
Vermont,Newfane,Michael DeVost,IND,5,False
Vermont,Newfane, Write-ins,WRI,4,False
Vermont,Newfane,Charly Dickerson,UNA,3,False
Vermont,New Haven,Phil Scott,REP,901,True
Vermont,New Haven,David Zuckerman,DEM,232,False
Vermont,New Haven,Kevin Hoyt,IND,11,False
Vermont,New Haven,Emily Peyton,TM,8,False
Vermont,New Haven, Write-ins,WRI,5,False
Vermont,New Haven,Wayne Billado,IND,3,False
Vermont,New Haven,Michael DeVost,IND,2,False
Vermont,New Haven,Charly Dickerson,UNA,1,False
Vermont,New Haven,Erynn Whitney,IND,1,False
Vermont,Newport,Phil Scott,REP,1309,True
Vermont,Newport,David Zuckerman,DEM,379,False
Vermont,Newport,Michael DeVost,IND,38,False
Vermont,Newport,Kevin Hoyt,IND,27,False
Vermont,Newport,Emily Peyton,TM,19,False
Vermont,Newport, Write-ins,WRI,15,False
Vermont,Newport,Erynn Whitney,IND,11,False
Vermont,Newport,Wayne Billado,IND,4,False
Vermont,Newport,Charly Dickerson,UNA,3,False
Vermont,Newport Town,Phil Scott,REP,611,True
Vermont,Newport Town,David Zuckerman,DEM,118,False
Vermont,Newport Town,Kevin Hoyt,IND,18,False
Vermont,Newport Town,Michael DeVost,IND,6,False
Vermont,Newport Town,Charly Dickerson,UNA,5,False
Vermont,Newport Town,Emily Peyton,TM,4,False
Vermont,Newport Town, Write-ins,WRI,4,False
Vermont,Newport Town,Wayne Billado,IND,1,False
Vermont,Newport Town,Erynn Whitney,IND,1,False
Vermont,Northfield,Phil Scott,REP,1891,True
Vermont,Northfield,David Zuckerman,DEM,474,False
Vermont,Northfield,Emily Peyton,TM,22,False
Vermont,Northfield,Kevin Hoyt,IND,19,False
Vermont,Northfield,Charly Dickerson,UNA,12,False
Vermont,Northfield, Write-ins,WRI,11,False
Vermont,Northfield,Wayne Billado,IND,10,False
Vermont,Northfield,Erynn Whitney,IND,5,False
Vermont,Northfield,Michael DeVost,IND,4,False
Vermont,North Hero,Phil Scott,REP,556,True
Vermont,North Hero,David Zuckerman,DEM,135,False
Vermont,North Hero,Emily Peyton,TM,6,False
Vermont,North Hero,Wayne Billado,IND,1,False
Vermont,North Hero,Erynn Whitney,IND,1,False
Vermont,North Hero, Write-ins,WRI,1,False
Vermont,North Hero,Michael DeVost,IND,0,False
Vermont,North Hero,Charly Dickerson,UNA,0,False
Vermont,North Hero,Kevin Hoyt,IND,0,False
Vermont,Norton,Phil Scott,REP,83,True
Vermont,Norton,David Zuckerman,DEM,18,False
Vermont,Norton,Michael DeVost,IND,4,False
Vermont,Norton,Kevin Hoyt,IND,1,False
Vermont,Norton,Wayne Billado,IND,0,False
