STOP_ID,TOWN,STOP_NAME,impacted_g,proportion,proporti_1,income,income_lev,impacted_p,geometry,route_ids
3298,QUINCY,Palmer St @ Forbush Ave,"25021417702,25021417901,25021417802,25021417801","0.00,0.01,0.65,0.18","0.00,0.01,0.38,0.19",53431,2,215,POINT (243555.0031000003 889866.377700001),"214,216"
4143,MILTON,Central Ave @ Brook Rd,"25021416300,25021416200,25021416101","0.34,0.18,0.05","0.46,0.30,0.23",133094,3,348,POINT (234558.2307000011 889868.4717000015),240
3033,QUINCY,Hancock St @ Furnace Brook Pkwy,"25021417701,25021417702,25021418101,25021417100,25021417602","0.37,0.08,0.26,0.07,0.35","0.28,0.07,0.22,0.05,0.37",72658,2,1199,POINT (240539.1560999975 889869.5650000013),"210,245,217,212,211"
4401,MILTON,Brook Rd @ Centre St,"25021416400,25021416300,25021416101","0.24,0.10,0.07","0.55,0.14,0.31",134411,3,196,POINT (236304.7738000005 889869.5780999996),245
4408,MILTON,Brook Rd @ Centre St,"25021416400,25021416300,25021416101","0.24,0.10,0.07","0.55,0.14,0.31",134411,3,196,POINT (236304.7738000005 889869.5780999996),245
6377,BOSTON,River St @ West St,"25021416200,25025140300,25025140202,25025140107,25025140105","0.05,0.71,0.23,0.32,0.17","0.08,0.55,0.18,0.10,0.09",64818,2,1165,POINT (231523.6583999991 889884.5888999999),"33,24"
6359,BOSTON,River St @ West St,"25021416200,25025140300,25025140202,25025140107,25025140105","0.05,0.71,0.23,0.32,0.17","0.08,0.55,0.18,0.10,0.09",64818,2,1165,POINT (231526.3210000023 889888.9659999982),"33,24"
3318,QUINCY,Palmer St @ Roanoke St,"25021417702,25021417901,25021417802,25021417801","0.02,0.02,0.57,0.19","0.02,0.02,0.34,0.20",57080,2,225,POINT (243462.1964000016 889895.8737999983),"214,216"
6508,BOSTON,Hyde Park Ave opp Webster St,"25025140300,25025140201,25025140202,25025140107,25025140105,25025980700","0.60,0.00,0.06,0.85,0.26,0.07","0.47,0.00,0.04,0.26,0.13,0.10",55696,2,1127,POINT (231076.9253000021 889900.1119999997),"33,32"
3297,QUINCY,Palmer St @ Chesley Rd,"25021417702,25021417901,25021417802,25021417801","0.02,0.02,0.56,0.19","0.02,0.02,0.33,0.21",58469,2,223,POINT (243439.7545000017 889901.0256000012),"214,216"
3462,QUINCY,Beale St @ Rockwell Ave,"25021418102,25021418101,25021418200,25021416400,25021417200,25021417100","0.03,0.00,0.03,0.11,0.13,0.59","0.01,0.00,0.19,0.26,0.16,0.38",99963,2,941,POINT (238627.3188999966 889904.1185999997),217
2785,BOSTON,61 Summer St opp Parrott St,"25025140300,25025140202,25025140107,25025140105,25025980700","0.52,0.00,0.94,0.25,0.12","0.41,0.00,0.29,0.12,0.17",51171,2,1022,POINT (230927.9966999963 889904.377799999),"50,40"
3389,MILTON,Adams St @ Hollis St,"25021418200,25021416400,25021417200,25021417100","0.01,0.38,0.03,0.01","0.09,0.86,0.04,0.01",119639,2,247,POINT (237737.8557000011 889909.6999000013),"217,215,245"
3197,QUINCY,Newport Ave @ Lillian Rd,"25021417701,25021417702,25021418101,25021417100,25021417602","0.24,0.00,0.32,0.27,0.35","0.18,0.00,0.27,0.17,0.37",76449,2,1232,POINT (240235.8005999997 889911.3273999989),"217,211"
4411,MILTON,Brook Rd @ Governors Rd,"25021418200,25021416400","0.00,0.43","0.02,0.98",124291,2,190,POINT (237452.7136000022 889920.5643999986),245
620,BOSTON,Washington St @ Birchwood St,"25021402102,25021402400,25021402101,25025130402,25025130404,25025130406","0.24,0.02,0.06,0.08,0.31,0.50","0.23,0.04,0.14,0.09,0.25,0.26",70886,2,704,POINT (228104.6436000019 889923.8665000014),"70A,34E,35,34"
3320,QUINCY,Palmer St opp Oakwood Rd,"25021417702,25021417901,25021417802,25021417801","0.07,0.03,0.47,0.20","0.06,0.02,0.28,0.22",63442,2,246,POINT (243317.0059999973 889925.8178999983),"214,216"
4398,MILTON,Brook Rd @ Governors Rd,"25021418200,25021416400","0.00,0.43","0.02,0.98",124291,2,190,POINT (237471.2041999996 889929.5135999992),245
3295,QUINCY,Palmer St @ Oakwood Rd,"25021417702,25021417901,25021417802,25021417801","0.08,0.03,0.45,0.21","0.06,0.02,0.27,0.22",64089,2,251,POINT (243299.3021000028 889930.1512999982),"214,216"
1614,BOSTON,W Boundary Rd @ Georgetowne Dr,"25021402102,25025140102,25025130406,25025980700","0.15,0.11,0.70,0.26","0.14,0.12,0.36,0.38",37961,1,655,POINT (229250.6819999963 889930.6026999988),40
2816,BOSTON,Austin St @ Chestnut St,"25025140300,25025140102,25025140107,25025140105,25025980700","0.45,0.00,0.96,0.26,0.15","0.36,0.00,0.29,0.13,0.22",49345,2,966,POINT (230859.2075000033 889932.5271000005),50
