branch,num_of_instance
1148,2
2955,2
821,2
2985,2
1760,2
932,2
2987,2
2818,2
3557,2
1530,2
1528,2
1507,2
2956,2
915,2
3484,2
2883,2
2886,2
1692,2
2894,2
2895,2
863,2
1686,2
2903,2
1681,2
1658,2
2912,2
2913,2
1506,2
3510,2
2921,2
1704,2
1752,2
1706,2
2929,2
3531,2
835,2
1615,2
3548,2
2845,2
2844,2
1703,2
2948,2
3549,2
822,2
3553,2
1561,2
1932,2
977,2
940,2
1215,2
1225,2
1226,2
3345,2
1093,2
1089,2
3201,2
1084,2
3196,2
1083,2
1244,2
1254,2
3184,2
3183,2
1266,2
1079,2
1056,2
1267,2
1269,2
3160,2
3226,2
1205,2
1273,2
3329,2
3287,2
3286,2
1154,2
3279,2
3278,2
1155,2
3276,2
1165,2
3266,2
3265,2
3264,2
1166,2
3258,2
3256,2
3323,2
1122,2
1185,2
3239,2
3328,2
1042,2
3149,2
3006,2
989,2
3424,2
1356,2
3066,2
1357,2
985,2
982,2
978,2
3564,2
1368,2
3438,2
1390,2
3443,2
1434,2
1461,2
967,2
964,2
3453,2
1497,2
3014,2
1345,2
3085,2
3148,2
3086,2
1038,2
3143,2
3138,2
1293,2
3386,2
3387,2
3389,2
3127,2
3392,2
3121,2
1306,2
1024,2
1318,2
1000,2
3412,2
998,2
1322,2
3091,2
3415,2
808,2
2831,2
3566,2
2009,2
485,2
2458,2
2037,2
388,2
2617,2
3777,2
2238,2
2251,2
576,2
378,2
2022,2
2629,2
3782,2
584,2
2641,2
1915,2
1973,2
620,2
2657,2
640,2
643,2
3738,2
2668,2
685,2
690,2
691,2
693,2
699,2
1929,2
2688,2
3690,2
2601,2
465,2
2227,2
2169,2
2518,2
2152,2
440,2
441,2
2535,2
445,2
2149,2
2148,2
393,2
3757,2
2117,2
2109,2
2224,2
2480,2
3762,2
2107,2
2106,2
2105,2
2099,2
2090,2
2079,2
390,2
460,2
461,2
2475,2
3768,2
2472,2
2054,2
2689,2
2430,2
2295,2
2377,2
2732,2
2734,2
3612,2
2738,2
325,2
324,2
1884,2
1876,2
2380,2
287,2
1837,2
286,2
762,2
2730,2
278,2
2765,2
1801,2
2769,2
267,2
1800,2
202,2
194,2
2351,2
1783,2
1782,2
1777,2
2731,2
3737,2
2710,2
2714,2
732,2
752,2
733,2
3802,2
3803,2
2703,2
344,2
2691,2
2702,2
2722,2
745,2
2287,2
2717,2
416,1
252,1
3759,1
1143,1
1142,1
1039,1
417,1
392,1
1121,1
1140,1
3383,1
347,1
3384,1
63,1
3330,1
359,1
411,1
3385,1
1134,1
3754,1
3337,1
3806,1
1101,1
360,1
379,1
336,1
328,1
3353,1
3783,1
3772,1
305,1
389,1
1129,1
3333,1
304,1
290,1
3769,1
372,1
1132,1
1066,1
366,1
1060,1
3767,1
1049,1
365,1
1133,1
1048,1
1110,1
452,1
1031,1
871,1
3525,1
854,1
755,1
3611,1
3520,1
3515,1
870,1
744,1
3509,1
646,1
873,1
711,1
879,1
700,1
884,1
888,1
684,1
920,1
851,1
3527,1
757,1
3528,1
803,1
3570,1
3558,1
799,1
3575,1
793,1
784,1
775,1
3552,1
768,1
3599,1
767,1
832,1
834,1
847,1
758,1
850,1
679,1
922,1
3733,1
447,1
3706,1
3428,1
3707,1
3423,1
986,1
3711,1
448,1
3713,1
446,1
631,1
3718,1
997,1
3719,1
3399,1
1008,1
427,1
424,1
3732,1
3567,1
3437,1
3439,1
975,1
931,1
610,1
581,1
938,1
563,1
560,1
3458,1
957,1
963,1
543,1
492,1
3689,1
973,1
3444,1
3693,1
464,1
974,1
1147,1
2354,1
1149,1
1972,1
2023,1
2631,1
2632,1
2007,1
1981,1
2642,1
