route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,fare,reduced_fare
89,69,1,69,Harvard Square - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/69,FFC72C,0,50690,Local Bus,line-69,,1.7,0.85
90,70,1,70,Market Place Drive or Waltham Center - University Park,Local Bus,3,https://www.mbta.com/schedules/70,FFC72C,0,50700,Local Bus,line-6170170,,1.7,0.85
91,71,1,71,Watertown Square - Harvard Station,Key Bus,3,https://www.mbta.com/schedules/71,FFC72C,0,50710,Local Bus,line-71,,1.7,0.85
92,72,1,72,Aberdeen Avenue - Harvard Station,Local Bus,3,https://www.mbta.com/schedules/72,FFC72C,0,50720,Local Bus,line-727475,,1.7,0.85
93,73,1,73,Waverley Square - Harvard Station,Key Bus,3,https://www.mbta.com/schedules/73,FFC72C,0,50730,Local Bus,line-73,,1.7,0.85
94,74,1,74,Belmont Center - Harvard via Concord Avenue,Local Bus,3,https://www.mbta.com/schedules/74,FFC72C,0,50740,Local Bus,line-727475,,1.7,0.85
95,75,1,75,Belmont Center - Harvard via Huron Avenue,Local Bus,3,https://www.mbta.com/schedules/75,FFC72C,0,50750,Local Bus,line-727475,,1.7,0.85
96,76,1,76,Lincoln Lab - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/76,FFC72C,0,50760,Local Bus,line-6276,,1.7,0.85
97,77,1,77,Arlington Heights - Harvard Station,Key Bus,3,https://www.mbta.com/schedules/77,FFC72C,0,50770,Local Bus,line-77,,1.7,0.85
98,78,1,78,Arlmont Village - Harvard Station,Local Bus,3,https://www.mbta.com/schedules/78,FFC72C,0,50780,Local Bus,line-7884,,1.7,0.85
99,79,1,79,Arlington Heights - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/79,FFC72C,0,50790,Local Bus,line-6779,,1.7,0.85
100,80,1,80,Arlington Center - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/80,FFC72C,0,50800,Local Bus,line-80,,1.7,0.85
101,83,1,83,"Rindge Avenue - Central Square, Cambridge",Local Bus,3,https://www.mbta.com/schedules/83,FFC72C,0,50830,Local Bus,line-83,,1.7,0.85
102,84,1,84,Arlmont Village - Alewife Station,Commuter Bus,3,https://www.mbta.com/schedules/84,FFC72C,0,50840,Local Bus,line-7884,,1.7,0.85
103,85,1,85,Spring Hill - Kendall/MIT Station,Local Bus,3,https://www.mbta.com/schedules/85,FFC72C,0,50850,Local Bus,line-85,,1.7,0.85
104,86,1,86,Sullivan Square Station - Reservoir Station,Local Bus,3,https://www.mbta.com/schedules/86,FFC72C,0,50860,Local Bus,line-86,,1.7,0.85
105,87,1,87,Clarendon Hill or Arlington Center - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/87,FFC72C,0,50870,Local Bus,line-87,,1.7,0.85
106,88,1,88,Clarendon Hill - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/88,FFC72C,0,50880,Local Bus,line-88,,1.7,0.85
107,89,1,89,Clarendon Hill or Davis Station - Sullivan Square Station,Local Bus,3,https://www.mbta.com/schedules/89,FFC72C,0,50890,Local Bus,line-89,,1.7,0.85
108,8993,1,89/93,Clarendon Hill - Haymarket Station,Supplemental Bus,3,,FFC72C,0,50891,Local Bus,line-89,1.0,1.7,0.85
109,90,1,90,Davis Station - Assembly Row,Local Bus,3,https://www.mbta.com/schedules/90,FFC72C,0,50900,Local Bus,line-90,,1.7,0.85
110,91,1,91,"Sullivan Square Station - Central Square, Cambridge",Local Bus,3,https://www.mbta.com/schedules/91,FFC72C,0,50910,Local Bus,line-91,,1.7,0.85
111,92,1,92,Sullivan Square Station - Downtown via Main Street,Local Bus,3,https://www.mbta.com/schedules/92,FFC72C,0,50920,Local Bus,line-92,,1.7,0.85
112,93,1,93,Sullivan Square Station - Downtown via Bunker Hill Street,Local Bus,3,https://www.mbta.com/schedules/93,FFC72C,0,50930,Local Bus,line-93,,1.7,0.85
113,94,1,94,Medford Square - Davis Station,Local Bus,3,https://www.mbta.com/schedules/94,FFC72C,0,50940,Local Bus,line-94,,1.7,0.85
114,95,1,95,West Medford or Arlington Center - Sullivan Square Station,Local Bus,3,https://www.mbta.com/schedules/95,FFC72C,0,50950,Local Bus,line-95,,1.7,0.85
115,96,1,96,Medford Square - Harvard Station,Local Bus,3,https://www.mbta.com/schedules/96,FFC72C,0,50960,Local Bus,line-96,,1.7,0.85
116,97,1,97,Malden Center Station - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/97,FFC72C,0,50970,Local Bus,line-97,,1.7,0.85
117,99,1,99,Woodland Road - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/99,FFC72C,0,50990,Local Bus,line-99,,1.7,0.85
118,100,1,100,Elm Street - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/100,FFC72C,0,51000,Local Bus,line-100,,1.7,0.85
119,101,1,101,Malden Center Station - Sullivan Square Station via Winter Hill,Local Bus,3,https://www.mbta.com/schedules/101,FFC72C,0,51010,Local Bus,line-101,,1.7,0.85
120,104,1,104,Malden Center Station - Sullivan Square Station via Ferry Street,Local Bus,3,https://www.mbta.com/schedules/104,FFC72C,0,51040,Local Bus,line-104109,,1.7,0.85
121,105,1,105,Malden Center Station - Sullivan Square Station via Newland Street Housing,Local Bus,3,https://www.mbta.com/schedules/105,FFC72C,0,51050,Local Bus,line-105,,1.7,0.85
122,106,1,106,Lebanon Loop - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/106,FFC72C,0,51060,Local Bus,line-106,,1.7,0.85
123,108,1,108,Linden Square - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/108,FFC72C,0,51080,Local Bus,line-108,,1.7,0.85
124,109,1,109,Linden Square - Sullivan Square Station,Local Bus,3,https://www.mbta.com/schedules/109,FFC72C,0,51090,Local Bus,line-104109,,1.7,0.85
125,110,1,110,Wonderland Station - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/110,FFC72C,0,51100,Local Bus,line-110,,1.7,0.85
126,111,1,111,Woodlawn - Haymarket Station,Key Bus,3,https://www.mbta.com/schedules/111,FFC72C,0,51110,Local Bus,line-111,,1.7,0.85
127,112,1,112,Wellington Station - Wood Island Station,Local Bus,3,https://www.mbta.com/schedules/112,FFC72C,0,51120,Local Bus,line-112,,1.7,0.85
128,114,1,114,Market Basket - Maverick Station,Community Bus,3,https://www.mbta.com/schedules/114,FFC72C,0,51140,Local Bus,line-114116117,,1.7,0.85
129,116,1,116,Wonderland Station - Maverick Station via Revere Street,Key Bus,3,https://www.mbta.com/schedules/116,FFC72C,0,51160,Local Bus,line-114116117,,1.7,0.85
130,116117,1,116/117,Wonderland Station - Maverick Station,Supplemental Bus,3,,FFC72C,0,51161,Local Bus,line-114116117,1.0,1.7,0.85
131,117,1,117,Wonderland Station - Maverick Station via Beach Street,Key Bus,3,https://www.mbta.com/schedules/117,FFC72C,0,51170,Local Bus,line-114116117,,1.7,0.85
132,119,1,119,Northgate Shopping Center - Beachmont Station,Local Bus,3,https://www.mbta.com/schedules/119,FFC72C,0,51190,Local Bus,line-119,,1.7,0.85
133,120,1,120,Orient Heights Station - Jeffries Point,Local Bus,3,https://www.mbta.com/schedules/120,FFC72C,0,51200,Local Bus,line-120121,,1.7,0.85
134,121,1,121,Wood Island Station - Maverick Station,Commuter Bus,3,https://www.mbta.com/schedules/121,FFC72C,0,51210,Local Bus,line-120121,,1.7,0.85
135,131,1,131,Melrose Highlands - Oak Grove or Malden Center Station,Commuter Bus,3,https://www.mbta.com/schedules/131,FFC72C,0,51310,Local Bus,line-131132,,1.7,0.85
136,132,1,132,Redstone Shopping Center - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/132,FFC72C,0,51320,Local Bus,line-131132,,1.7,0.85
137,134,1,134,North Woburn - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/134,FFC72C,0,51340,Local Bus,line-134,,1.7,0.85
138,136,1,136,Reading Depot - Malden Center Station via Lowell Street,Local Bus,3,https://www.mbta.com/schedules/136,FFC72C,0,51360,Local Bus,line-136137,,1.7,0.85
139,137,1,137,Reading Depot - Malden Center Station via North Avenue,Local Bus,3,https://www.mbta.com/schedules/137,FFC72C,0,51370,Local Bus,line-136137,,1.7,0.85
140,170,1,170,Waltham Center - Nubian Station,Commuter Bus,3,https://www.mbta.com/schedules/170,FFC72C,0,51700,Inner Express,line-6170170,,4.25,2.1
141,171,1,171,Logan Airport Terminals - Nubian Station,Supplemental Bus,3,https://www.mbta.com/schedules/171,FFC72C,0,51710,Local Bus,line-171708,,1.7,0.85
142,195,1,195,Lemuel Shattuck Hospital - Park Street & Tremont Street,Supplemental Bus,3,https://www.mbta.com/schedules/195,FFC72C,0,51950,Local Bus,line-195,1.0,1.7,0.85
143,201,1,201,Fields Corner Loop via Neponset Ave,Local Bus,3,https://www.mbta.com/schedules/201,FFC72C,0,52010,Local Bus,line-201202,,1.7,0.85
144,202,1,202,Fields Corner Loop via Adams Street,Local Bus,3,https://www.mbta.com/schedules/202,FFC72C,0,52020,Local Bus,line-201202,,1.7,0.85
