GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001
"G25000100121023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012102","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 121.02, Barnstable County, Massachusetts",,,682
"G25000100121024","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012102","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 121.02, Barnstable County, Massachusetts",,,801
"G25000100122001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 122, Barnstable County, Massachusetts",,,1504
"G25000100122002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 122, Barnstable County, Massachusetts",,,712
"G25000100122003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012200","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 122, Barnstable County, Massachusetts",,,1903
"G25000100122004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012200","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 122, Barnstable County, Massachusetts",,,669
"G25000100125021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012502","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 125.02, Barnstable County, Massachusetts",,,666
"G25000100125022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012502","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 125.02, Barnstable County, Massachusetts",,,965
"G25000100125023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012502","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 125.02, Barnstable County, Massachusetts",,,927
"G25000100125024","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012502","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 125.02, Barnstable County, Massachusetts",,,1099
"G25000100126011","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012601","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 126.01, Barnstable County, Massachusetts",,,2031
"G25000100126012","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012601","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 126.01, Barnstable County, Massachusetts",,,1076
"G25000100126021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012602","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 126.02, Barnstable County, Massachusetts",,,1654
"G25000100126022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012602","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",,,1413
"G25000100126023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012602","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",,,1246
"G25000100126024","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012602","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",,,891
"G25000100127001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012700","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 127, Barnstable County, Massachusetts",,,1235
"G25000100127002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012700","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 127, Barnstable County, Massachusetts",,,952
"G25000100127003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012700","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 127, Barnstable County, Massachusetts",,,624
"G25000100127004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012700","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 127, Barnstable County, Massachusetts",,,1331
"G25000100128001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012800","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 128, Barnstable County, Massachusetts",,,671
"G25000100128002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012800","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 128, Barnstable County, Massachusetts",,,1514
"G25000100128003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012800","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 128, Barnstable County, Massachusetts",,,1641
"G25000100129001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012900","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 129, Barnstable County, Massachusetts",,,1068
"G25000100129002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012900","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 129, Barnstable County, Massachusetts",,,1294
"G25000100129003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012900","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 129, Barnstable County, Massachusetts",,,1542
"G25000100130021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013002","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 130.02, Barnstable County, Massachusetts",,,385
"G25000100130022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013002","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 130.02, Barnstable County, Massachusetts",,,476
"G25000100130023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013002","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 130.02, Barnstable County, Massachusetts",,,1085
"G25000100130024","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013002","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 130.02, Barnstable County, Massachusetts",,,938
"G25000100131001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 131, Barnstable County, Massachusetts",,,1066
"G25000100131002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 131, Barnstable County, Massachusetts",,,2234
"G25000100131003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 131, Barnstable County, Massachusetts",,,701
"G25000100131004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013100","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 131, Barnstable County, Massachusetts",,,1322
"G25000100132001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 132, Barnstable County, Massachusetts",,,1039
"G25000100132002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"013200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 132, Barnstable County, Massachusetts",,,2663
